Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
4751940,420401,439929,1,7/5/2017,2137,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Female,11
4760292,435810,441263,1,7/6/2017,0730,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Female,14
4761238,432904,432378,2,7/6/2017,1630,A63,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,20
4761348,432503,434085,2,7/6/2017,1630,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,11
4761374,423435,434769,1,7/6/2017,1700,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Female,4
4761414,428995,432443,2,7/6/2017,1650,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,29
4761541,429944,433416,1,7/6/2017,1806,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Pedestrian,Slight,Male,24
4761541,429944,433416,1,7/6/2017,1806,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Pedestrian,Slight,Female,25
4770340,423186,434669,2,7/7/2017,0757,B6157,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,20
4770340,423186,434669,2,7/7/2017,0757,B6157,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,33
4780668,423146,433815,2,7/8/2017,1055,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,38
4780834,443592,435505,1,7/8/2017,1221,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Serious,Male,23
4781094,434043,433956,2,7/8/2017,1435,B6159,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Serious,Male,28
4782088,432693,435236,1,7/8/2017,2220,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,6
4782293,427973,436065,3,7/8/2017,2345,A660,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Driver or rider,Slight,Male,23
4790766,430280,433402,1,7/6/2017,1945,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Pedestrian,Slight,Female,35
4791114,431620,436140,2,7/9/2017,1429,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,43
4791245,429220,435455,1,7/9/2017,1520,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,5
4791315,443495,444573,2,7/9/2017,1550,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,43
4791591,425912,432240,2,7/9/2017,1805,A6110,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,43
47A0475,428139,433507,1,7/10/2017,0943,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,34
47A0475,428139,433507,1,7/10/2017,0943,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Pedestrian,Slight,Female,25
47A1281,422995,432459,1,6/24/2017,0130,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Serious,Male,37
47A1531,429044,436937,2,7/10/2017,1820,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,31
47A1553,440412,447661,2,7/10/2017,1831,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Serious,Male,45
47A1712,429020,431901,1,7/10/2017,1940,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Male,8
47B0363,432300,426215,4,7/11/2017,0835,M1,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,46
47B0564,431559,429079,1,7/11/2017,1045,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,43
47C0252,420549,444952,2,7/12/2017,0720,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,43
47C0252,420549,444952,2,7/12/2017,0720,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,4
47C0359,432061,436090,2,7/12/2017,0845,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,54
47C0518,430965,433424,2,7/11/2017,2010,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,26
47C0972,429141,431739,1,7/12/2017,1419,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,92
47C1294,429092,429970,2,7/12/2017,1630,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Female,45
47C1300,435863,435283,2,7/12/2017,1635,A64,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,12
47D0521,432728,438473,2,7/13/2017,0955,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,36
47D0521,432728,438473,2,7/13/2017,0955,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Driver or rider,Slight,Male,75
47D0628,428296,429572,2,7/13/2017,1053,A6110,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,73
47D0628,428296,429572,2,7/13/2017,1053,A6110,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,74
47D1281,428223,432714,3,7/13/2017,1555,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,48
47D1777,436708,434095,2,7/13/2017,1700,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,11
47D2025,432630,439364,3,7/13/2017,2142,A6120,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Serious,Male,45
47D2025,432630,439364,3,7/13/2017,2142,A6120,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,39
47E0385,436633,434648,2,6/18/2017,2201,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car0,Driver or rider,Slight,Male,64
47E1107,431846,435653,1,7/14/2017,1400,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,23
47F0342,430854,433345,1,7/15/2017,0451,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Female,24
47F1225,424863,427591,3,7/15/2017,1606,A643,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,13
47F1225,424863,427591,3,7/15/2017,1606,A643,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,10
47F1225,424863,427591,3,7/15/2017,1606,A643,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,19
47F1225,424863,427591,3,7/15/2017,1606,A643,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,1
47F1351,423988,435833,2,7/15/2017,1705,B6157,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,17
47F2097,430865,434148,2,7/15/2017,2249,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,23
47G1490,429742,430544,1,7/16/2017,1750,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Male,20
47H0323,425524,426550,1,7/17/2017,0800,B6123,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,32
47H0453,420714,445661,2,7/17/2017,0920,A659,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Female,57
47H0891,426798,433456,2,7/1/2017,1231,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,34
47H1277,433550,435960,2,7/17/2017,1602,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,40
47H1374,430310,431919,2,7/17/2017,1650,M621,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,44
47H1421,431334,436307,2,6/28/2017,0750,B6159,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,28
47H1652,427126,434795,2,7/17/2017,1710,A658,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,33
47I0315,432565,426957,2,7/18/2017,0740,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,18
47I1001,435065,434760,2,7/18/2017,1230,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,45
47I1154,436802,435600,2,7/17/2017,1900,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Serious,Female,59
47I1222,429793,433718,1,7/18/2017,1305,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,50
47I1287,427443,431395,2,7/17/2017,0845,A6110,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,37
47I1519,425625,433080,2,7/18/2017,1732,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Slight,Male,18
47I1724,430571,432382,2,7/18/2017,1430,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,42
47I1724,430571,432382,2,7/18/2017,1430,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,12
47I2004,431886,430492,1,7/18/2017,2125,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,23
47I2004,431886,430492,1,7/18/2017,2125,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,18
47I2004,431886,430492,1,7/18/2017,2125,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,24
47J0895,428045,432828,2,7/19/2017,1135,B6154,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,54
47J0895,428045,432828,2,7/19/2017,1135,B6154,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,33
47J1178,427321,433545,2,7/28/2017,1554,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,7
47J1277,427162,433671,2,7/19/2017,1635,A647,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,27
47J1294,435543,437937,2,7/17/2017,0800,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,50
47J1578,435930,426611,2,7/19/2017,1905,A642,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,63
47J1578,435930,426611,2,7/19/2017,1905,A642,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,36
47K0435,435001,438404,2,7/19/2017,1715,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Serious,Female,42
47K0573,430907,432290,2,7/20/2017,1052,A61,Wet/Damp,Daylight: Street lights present,Other,Car,Driver or rider,Slight,Female,33
47K0573,430907,432290,2,7/20/2017,1052,A61,Wet/Damp,Daylight: Street lights present,Other,Car,Driver or rider,Slight,Female,33
47K0573,430907,432290,2,7/20/2017,1052,A61,Wet/Damp,Daylight: Street lights present,Other,Car,Vehicle or pillion passenger,Slight,Female,62
47K0804,433036,432313,2,7/20/2017,1301,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,49
47K1197,429976,445290,2,7/20/2017,1602,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,31
47L0445,431400,435026,1,7/22/2017,0830,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,9
47L0514,424128,444012,2,7/21/2017,0917,A658,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,23
47L0719,425485,432854,1,7/21/2017,1122,A6110,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,18
47L0923,427744,430806,2,7/20/2017,1250,A6110,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,27
47L0923,427744,430806,2,7/20/2017,1250,A6110,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,1
47L1350,427432,433572,2,7/21/2017,1530,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,8
47L1567,428709,433148,2,7/21/2017,0800,A58,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,27
47M0293,429025,428911,2,7/22/2017,0413,U,Wet/Damp,Darkness: Street lights present but unlit,Raining without high winds,Car,Driver or rider,Slight,Female,37
47M0482,434381,430344,2,7/22/2017,0900,M1,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,25
47M0745,420602,441486,2,7/22/2017,1130,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,15
47M2125,442011,443713,1,7/22/2017,2240,A1(M),Wet/Damp,Darkness: No street lighting,Raining without high winds,Car,Driver or rider,Slight,Male,63
47M2185,421522,434974,4,7/22/2017,2330,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,27
47M2185,421522,434974,4,7/22/2017,2330,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Female,23
47N0537,430408,431861,3,7/23/2017,0932,A653,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Driver or rider,Slight,Male,58
47O0421,430422,433463,2,7/24/2017,1716,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Male,40
47O0671,431968,427779,2,7/24/2017,1230,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,33
47O0847,434261,436922,2,7/24/2017,1315,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Vehicle or pillion passenger,Slight,Male,33
47O1109,438154,430954,1,7/24/2017,1530,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Pedestrian,Slight,Female,5
47O1610,430114,431740,2,7/24/2017,1952,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,36
47O1801,429430,438688,1,7/24/2017,2114,A6120,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,26
47O1839,426693,433083,2,7/24/2017,2130,B6154,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,19
47P0215,430831,433291,2,7/25/2017,0530,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Female,27
47P0314,428489,434455,2,7/25/2017,0816,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,26
47P0826,431263,433817,3,7/27/2017,1329,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,23
47P0826,431263,433817,3,7/27/2017,1329,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Male,21
47P0826,431263,433817,3,7/27/2017,1329,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,60
47P0938,430377,433527,1,7/25/2017,1430,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Pedestrian,Slight,Male,63
47P0977,430609,431994,2,7/25/2017,1445,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,42
47P0977,430609,431994,2,7/25/2017,1445,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,3
47P1117,432581,433811,2,7/25/2017,1546,A64,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,54
47Q0329,427863,433666,2,7/26/2017,0816,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,26
47Q1498,430071,433838,2,7/26/2017,0855,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,25
47Q1826,431140,434298,2,7/26/2017,1610,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,23
47R0180,426980,440797,1,7/27/2017,0400,A660,Wet/Damp,Darkness: No street lighting,Fine without high winds,Car,Driver or rider,Serious,Male,26
47R0603,429560,433812,2,7/27/2017,1221,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,24
47R0922,429494,432902,1,7/27/2017,1025,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Pedestrian,Slight,Male,45
47R1479,432675,436914,2,7/27/2017,1921,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,21
47R1479,432675,436914,2,7/27/2017,1921,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,20
47R1705,417476,443064,1,7/27/2017,1950,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Male,11
47R1896,430349,433049,2,7/26/2017,0759,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,33
47S1286,428558,436885,2,7/28/2017,1651,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Serious,Female,40
47S1786,426799,438017,2,7/28/2017,2050,A660,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Serious,Female,33
47S1949,429241,438604,2,7/28/2017,2213,A6120,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Serious,Male,39
47T0087,421302,441457,1,7/29/2017,0100,U,Wet/Damp,Darkness: No street lighting,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,17
47T0222,428408,428713,1,7/29/2017,0300,A653,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,23
47T0310,431965,435832,2,7/29/2017,0445,B6159,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,53
47T0310,431965,435832,2,7/29/2017,0445,B6159,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,24
47T1009,425551,436386,2,7/29/2017,1425,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,50
47T2034,428606,432761,1,7/29/2017,2215,A643,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,58
47U0765,429870,432147,2,7/30/2017,1145,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,51
47U0828,424414,438930,3,7/30/2017,0014,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,37
47U1273,430419,433789,1,7/30/2017,1635,U,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,27
47U1549,428120,426664,2,7/30/2017,1853,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,22
47U1549,428120,426664,2,7/30/2017,1853,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycleCar,Driver or rider,Slight,Male,45
47U1549,428120,426664,2,7/30/2017,1853,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycleCar,Vehicle or pillion passenger,Slight,Male,17
47U2082,442618,428003,2,7/30/2017,2352,A656,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,22
47V0215,445311,431696,2,7/31/2017,0600,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,62
47V0301,429759,433580,1,7/31/2017,0815,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,46
47V0449,428304,434441,1,7/30/2017,2209,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Male,32
47V1025,428710,434107,2,7/31/2017,1445,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,41
47V1025,428710,434107,2,7/31/2017,1445,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,18
47V1025,428710,434107,2,7/31/2017,1445,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,18
47V1447,427517,438585,3,7/31/2017,1756,A6120,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,61
47V1447,427517,438585,3,7/31/2017,1756,A6120,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,35
47V2096,430142,432826,2,7/31/2017,1000,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,32
4811294,425068,437862,4,8/1/2017,1716,A6120,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Pedal cycleCar,Driver or rider,Slight,Male,29
4811459,424152,435960,2,8/1/2017,1837,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,59
4811459,424152,435960,2,8/1/2017,1837,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,82
4811595,425945,426763,2,8/1/2017,1945,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,6
4811595,425945,426763,2,8/1/2017,1945,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,21
4811736,429087,431242,2,8/1/2017,2030,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,25
4820662,426468,433263,1,8/2/2017,1158,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cyclePedal cycle,Pedestrian,Slight,Male,2
4821246,434651,428420,1,8/2/2017,1230,U,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Serious,Female,84
4821403,428575,427738,2,8/2/2017,1800,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Slight,Male,27
4830079,428608,432727,1,8/3/2017,0102,A643,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,23
4830534,434305,437050,2,8/3/2017,1034,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,53
4831415,439541,432441,2,8/3/2017,1752,A63,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Female,50
4831580,419642,444994,2,8/3/2017,1625,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,1
4840222,430244,433251,1,8/4/2017,0341,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,19
4841704,426856,438044,2,8/4/2017,1900,A6120,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,41
4850236,430252,433236,1,8/5/2017,0303,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,50
4850524,430571,433454,2,8/3/2017,1300,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,32
4850642,425509,432143,1,8/4/2017,0825,U,Dry,Daylight: Street lights present,Raining without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,27
4851288,436717,433829,2,8/5/2017,1520,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,35
4851460,431393,435452,2,8/5/2017,1754,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car0,Driver or rider,Slight,Male,23
4860546,426699,431761,2,8/2/2017,1700,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,46
4860671,428198,435026,2,8/6/2017,1130,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,31
4861708,423930,434315,2,8/6/2017,2018,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,29
4870202,423221,434317,1,8/7/2017,0630,A647,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Driver or rider,Slight,Female,27
4870202,423221,434317,1,8/7/2017,0630,A647,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Vehicle or pillion passenger,Serious,Female,19
4870289,430248,433238,1,8/7/2017,0815,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,10
4870409,431023,433090,2,8/7/2017,0935,A61,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycleCar,Driver or rider,Slight,Male,29
4871119,431595,430533,1,8/7/2017,1555,M621,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Driver or rider,Slight,Male,25
4871405,428094,434688,2,8/7/2017,1730,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,23
4871556,433852,434047,2,8/7/2017,1905,B6159,Dry,Darkness: Street lighting unknown,Fine without high winds,Car0,Driver or rider,Slight,Female,13
4871683,424144,428168,2,8/7/2017,2000,A62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,39
4871683,424144,428168,2,8/7/2017,2000,A62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,16
4871683,424144,428168,2,8/7/2017,2000,A62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,17
4871810,428819,440198,2,8/7/2017,2100,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,31
4880912,425794,435677,2,8/8/2017,1405,B6157,Wet/Damp,Daylight: Street lights present,Raining without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,57
